"id","keyword","cluster","content_type","target_calculator","primary_url","related_links","backlink_from","search_intent","priority","status","week","scheduled_order","slug","angle"
"26","roof sheathing cost per sheet","roofing","Blog","roof-sheathing-calculator","/tools/roofing/roof-sheathing-calculator.html","/tools/roofing/roof-sheathing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roof-sheathing-calculator.html | /tools/roofing/","Commercial","Medium","Planned","7","26","roof-sheathing-cost-per-sheet","OSB vs plywood"
"27","how much does a roof cost per square","roofing","Blog","roofing-calculator","/tools/roofing/roofing-calculator.html","/tools/roofing/roofing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roofing-calculator.html | /tools/roofing/","Commercial","Medium","Planned","7","27","how-much-does-a-roof-cost-per-square","per square = 100 sf"
"28","roof replacement cost for 1200 sq ft house","roofing","Blog","roofing-calculator","/tools/roofing/roofing-calculator.html","/tools/roofing/roofing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roofing-calculator.html | /tools/roofing/","Commercial","Medium","Planned","7","28","roof-replacement-cost-for-1200-sq-ft-house","worked example"
"29","how many bundles of shingles per square","roofing","Blog","shingle-calculator","/tools/roofing/shingle-calculator.html","/tools/roofing/shingle-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/shingle-calculator.html | /tools/roofing/","Informational","Medium","Planned","8","29","how-many-bundles-of-shingles-per-square","3 bundles rule"
"30","metal roof cost per square foot 2026","roofing","Blog","metal-roof-calculator","/tools/roofing/metal-roof-calculator.html","/tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/roof-sheathing-calculator.html | /tools/roofing/","/tools/roofing/metal-roof-calculator.html | /tools/roofing/","Commercial","Medium","Planned","8","30","metal-roof-cost-per-square-foot-2026","standing seam"
"31","asphalt shingle lifespan by brand","roofing","Blog","shingle-calculator","/tools/roofing/shingle-calculator.html","/tools/roofing/shingle-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/shingle-calculator.html | /tools/roofing/","Informational","Low","Planned","8","31","asphalt-shingle-lifespan-by-brand","20-30 yr"
"32","flat roof vs pitched roof cost","roofing","Blog","roofing-calculator","/tools/roofing/roofing-calculator.html","/tools/roofing/roofing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roofing-calculator.html | /tools/roofing/","Commercial","Medium","Planned","8","32","flat-roof-vs-pitched-roof-cost","membrane options"
"33","how to calculate roof truss span","roofing","Blog","roof-truss-calculator","/tools/roofing/roof-truss-calculator.html","/tools/roofing/roof-truss-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roof-truss-calculator.html | /tools/roofing/","Informational","Low","Planned","9","33","how-to-calculate-roof-truss-span","spacing"
"34","skylight cost installed per window","roofing","Blog","skylight-calculator","/tools/roofing/skylight-calculator.html","/tools/roofing/skylight-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/skylight-calculator.html | /tools/roofing/","Commercial","Low","Planned","9","34","skylight-cost-installed-per-window","sizes"
"35","roof underlayment cost per square","roofing","Blog","roof-sheathing-calculator","/tools/roofing/roof-sheathing-calculator.html","/tools/roofing/roof-sheathing-calculator.html | /tools/roofing/metal-roof-calculator.html | /tools/roofing/roof-pitch-calculator.html | /tools/roofing/","/tools/roofing/roof-sheathing-calculator.html | /tools/roofing/","Commercial","Low","Planned","9","35","roof-underlayment-cost-per-square","felt vs synthetic"
"36","how much paint do i need for a 12x12 room","painting","Blog","paint-calculator","/tools/painting/paint-calculator.html","/tools/painting/paint-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/paint-calculator.html | /tools/painting/","Informational","High","Planned","9","36","how-much-paint-do-i-need-for-a-12x12-room","gallons with 2 coats"
"37","paint cost per square foot interior","painting","Blog","painting-cost-calculator","/tools/painting/painting-cost-calculator.html","/tools/painting/painting-cost-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/painting-cost-calculator.html | /tools/painting/","Commercial","High","Planned","10","37","paint-cost-per-square-foot-interior","labor + material"
"38","how many gallons of primer for new drywall","painting","Blog","primer-calculator","/tools/painting/primer-calculator.html","/tools/painting/primer-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/primer-calculator.html | /tools/painting/","Informational","High","Planned","10","38","how-many-gallons-of-primer-for-new-drywall","sq ft coverage"
"39","exterior paint calculator with doors and windows","painting","Blog","exterior-paint-calculator","/tools/painting/exterior-paint-calculator.html","/tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/exterior-paint-calculator.html | /tools/painting/","Informational","Medium","Planned","10","39","exterior-paint-calculator-with-doors-and-windows","subtract openings"
"40","cost to paint a house exterior 2026","painting","Blog","painting-cost-calculator","/tools/painting/painting-cost-calculator.html","/tools/painting/painting-cost-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/painting-cost-calculator.html | /tools/painting/","Commercial","High","Planned","10","40","cost-to-paint-a-house-exterior-2026","per sq ft"
"41","how to calculate wallpaper rolls needed","painting","Blog","wallpaper-calculator","/tools/painting/wallpaper-calculator.html","/tools/painting/wallpaper-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/wallpaper-calculator.html | /tools/painting/","Informational","Medium","Planned","11","41","how-to-calculate-wallpaper-rolls-needed","double roll"
"42","how much does it cost to paint a 10x10 room","painting","Blog","painting-cost-calculator","/tools/painting/painting-cost-calculator.html","/tools/painting/painting-cost-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/painting-cost-calculator.html | /tools/painting/","Commercial","Medium","Planned","11","42","how-much-does-it-cost-to-paint-a-10x10-room","example"
"43","paint coverage per gallon square feet","painting","Blog","paint-calculator","/tools/painting/paint-calculator.html","/tools/painting/paint-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/paint-calculator.html | /tools/painting/","Informational","Medium","Planned","11","43","paint-coverage-per-gallon-square-feet","350-400 sf"
"44","how to estimate paint for ceilings","painting","Blog","paint-calculator","/tools/painting/paint-calculator.html","/tools/painting/paint-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/paint-calculator.html | /tools/painting/","Informational","Medium","Planned","11","44","how-to-estimate-paint-for-ceilings","ceiling area"
"45","how much to paint kitchen cabinets","painting","Blog","painting-cost-calculator","/tools/painting/painting-cost-calculator.html","/tools/painting/painting-cost-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/painting-cost-calculator.html | /tools/painting/","Commercial","Medium","Planned","12","45","how-much-to-paint-kitchen-cabinets","per door/drawer"
"46","how to calculate paintable surface area","painting","Blog","paint-calculator","/tools/painting/paint-calculator.html","/tools/painting/paint-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/paint-calculator.html | /tools/painting/","Informational","Medium","Planned","12","46","how-to-calculate-paintable-surface-area","trim + walls"
"47","wood stain calculator how many gallons","painting","Blog","stain-calculator","/tools/painting/stain-calculator.html","/tools/painting/stain-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/stain-calculator.html | /tools/painting/","Informational","Low","Planned","12","47","wood-stain-calculator-how-many-gallons","deck/fence"
"48","best paint roller for textured walls","painting","Blog","paint-calculator","/tools/painting/paint-calculator.html","/tools/painting/paint-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/painting-cost-calculator.html | /tools/painting/","/tools/painting/paint-calculator.html | /tools/painting/","Informational","Low","Planned","12","48","best-paint-roller-for-textured-walls","nap length"
"49","cost to paint interior of 2000 sq ft house","painting","Blog","painting-cost-calculator","/tools/painting/painting-cost-calculator.html","/tools/painting/painting-cost-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/painting-cost-calculator.html | /tools/painting/","Commercial","Medium","Planned","13","49","cost-to-paint-interior-of-2000-sq-ft-house","whole house"
"50","how many coats of paint for new drywall","painting","Blog","primer-calculator","/tools/painting/primer-calculator.html","/tools/painting/primer-calculator.html | /tools/painting/exterior-paint-calculator.html | /tools/painting/paint-calculator.html | /tools/painting/","/tools/painting/primer-calculator.html | /tools/painting/","Informational","Low","Planned","13","50","how-many-coats-of-paint-for-new-drywall","prime + 2"
"51","how many boxes of tile do i need","flooring","Blog","tile-calculator","/tools/flooring/tile-calculator.html","/tools/flooring/tile-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/tile-calculator.html | /tools/flooring/","Informational","High","Planned","13","51","how-many-boxes-of-tile-do-i-need","sq ft per box"
"52","hardwood flooring cost per square foot installed","flooring","Blog","hardwood-calculator","/tools/flooring/hardwood-calculator.html","/tools/flooring/hardwood-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/hardwood-calculator.html | /tools/flooring/","Commercial","High","Planned","13","52","hardwood-flooring-cost-per-square-foot-installed","material + install"
"53","laminate vs hardwood flooring cost","flooring","Blog","laminate-calculator","/tools/flooring/laminate-calculator.html","/tools/flooring/laminate-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/laminate-calculator.html | /tools/flooring/","Commercial","High","Planned","14","53","laminate-vs-hardwood-flooring-cost","comparison"
"54","how much carpet do i need for a 12x12 room","flooring","Blog","carpet-calculator","/tools/flooring/carpet-calculator.html","/tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/hardwood-calculator.html | /tools/flooring/","/tools/flooring/carpet-calculator.html | /tools/flooring/","Informational","High","Planned","14","54","how-much-carpet-do-i-need-for-a-12x12-room","sq yd"
"55","vinyl plank flooring cost calculator","flooring","Blog","vinyl-flooring-calculator","/tools/flooring/vinyl-flooring-calculator.html","/tools/flooring/vinyl-flooring-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/vinyl-flooring-calculator.html | /tools/flooring/","Commercial","Medium","Planned","14","55","vinyl-plank-flooring-cost-calculator","per sq ft"
"56","subfloor replacement cost per square foot","flooring","Blog","subfloor-calculator","/tools/flooring/subfloor-calculator.html","/tools/flooring/subfloor-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/subfloor-calculator.html | /tools/flooring/","Commercial","Medium","Planned","14","56","subfloor-replacement-cost-per-square-foot","plywood"
"57","tile vs laminate bathroom flooring","flooring","Blog","tile-calculator","/tools/flooring/tile-calculator.html","/tools/flooring/tile-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/tile-calculator.html | /tools/flooring/","Commercial","Medium","Planned","15","57","tile-vs-laminate-bathroom-flooring","wet areas"
"58","how to calculate flooring square footage with waste","flooring","Blog","tile-calculator","/tools/flooring/tile-calculator.html","/tools/flooring/tile-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/tile-calculator.html | /tools/flooring/","Informational","High","Planned","15","58","how-to-calculate-flooring-square-footage-with-waste","10% waste"
"59","how much does it cost to refinish hardwood floors","flooring","Blog","hardwood-calculator","/tools/flooring/hardwood-calculator.html","/tools/flooring/hardwood-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/hardwood-calculator.html | /tools/flooring/","Commercial","Medium","Planned","15","59","how-much-does-it-cost-to-refinish-hardwood-floors","per sq ft"
"60","tile installation cost per square foot","flooring","Blog","tile-calculator","/tools/flooring/tile-calculator.html","/tools/flooring/tile-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/tile-calculator.html | /tools/flooring/","Commercial","Medium","Planned","15","60","tile-installation-cost-per-square-foot","thinset/grout"
"61","how to level a floor before tiling","flooring","Blog","subfloor-calculator","/tools/flooring/subfloor-calculator.html","/tools/flooring/subfloor-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/subfloor-calculator.html | /tools/flooring/","Informational","Low","Planned","16","61","how-to-level-a-floor-before-tiling","self-leveling"
"62","engineered vs solid hardwood cost","flooring","Blog","hardwood-calculator","/tools/flooring/hardwood-calculator.html","/tools/flooring/hardwood-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/hardwood-calculator.html | /tools/flooring/","Commercial","Medium","Planned","16","62","engineered-vs-solid-hardwood-cost","comparison"
"63","carpet padding cost per square yard","flooring","Blog","carpet-calculator","/tools/flooring/carpet-calculator.html","/tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/hardwood-calculator.html | /tools/flooring/","/tools/flooring/carpet-calculator.html | /tools/flooring/","Commercial","Low","Planned","16","63","carpet-padding-cost-per-square-yard","pad"
"64","how many square feet in a box of laminate","flooring","Blog","laminate-calculator","/tools/flooring/laminate-calculator.html","/tools/flooring/laminate-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/laminate-calculator.html | /tools/flooring/","Informational","Low","Planned","16","64","how-many-square-feet-in-a-box-of-laminate","20-25 sf"
"65","linoleum flooring cost per square foot","flooring","Blog","linoleum-calculator","/tools/flooring/linoleum-calculator.html","/tools/flooring/linoleum-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/linoleum-calculator.html | /tools/flooring/","Commercial","Low","Planned","17","65","linoleum-flooring-cost-per-square-foot","sheet/tile"
"66","floor joist sizing for 12 foot span","flooring","Blog","floor-joist-calculator","/tools/flooring/floor-joist-calculator.html","/tools/flooring/floor-joist-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/hardwood-calculator.html | /tools/flooring/","/tools/flooring/floor-joist-calculator.html | /tools/flooring/","Informational","Medium","Planned","17","66","floor-joist-sizing-for-12-foot-span","2x? span table"
"67","how much does it cost to install vinyl plank flooring","flooring","Blog","vinyl-flooring-calculator","/tools/flooring/vinyl-flooring-calculator.html","/tools/flooring/vinyl-flooring-calculator.html | /tools/flooring/carpet-calculator.html | /tools/flooring/floor-joist-calculator.html | /tools/flooring/","/tools/flooring/vinyl-flooring-calculator.html | /tools/flooring/","Commercial","Medium","Planned","17","67","how-much-does-it-cost-to-install-vinyl-plank-flooring","LVP"
"68","cost to install a wood fence per foot 2026","fencing","Blog","wood-fence-calculator","/tools/fencing/wood-fence-calculator.html","/tools/fencing/wood-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/wood-fence-calculator.html | /tools/fencing/","Commercial","High","Planned","17","68","cost-to-install-a-wood-fence-per-foot-2026","per linear ft"
"69","how many fence posts for 100 feet","fencing","Blog","post-spacing-calculator","/tools/fencing/post-spacing-calculator.html","/tools/fencing/post-spacing-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/post-spacing-calculator.html | /tools/fencing/","Informational","High","Planned","18","69","how-many-fence-posts-for-100-feet","post count"
"70","vinyl fence vs wood fence cost comparison","fencing","Blog","vinyl-fence-calculator","/tools/fencing/vinyl-fence-calculator.html","/tools/fencing/vinyl-fence-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/vinyl-fence-calculator.html | /tools/fencing/","Commercial","High","Planned","18","70","vinyl-fence-vs-wood-fence-cost-comparison","10-yr view"
"71","chain link fence cost per linear foot","fencing","Blog","chain-link-calculator","/tools/fencing/chain-link-calculator.html","/tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/gate-calculator.html | /tools/fencing/","/tools/fencing/chain-link-calculator.html | /tools/fencing/","Commercial","Medium","Planned","18","71","chain-link-fence-cost-per-linear-foot","galvanized"
"72","how much gravel under fence posts","fencing","Blog","post-spacing-calculator","/tools/fencing/post-spacing-calculator.html","/tools/fencing/post-spacing-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/post-spacing-calculator.html | /tools/fencing/","Informational","Medium","Planned","18","72","how-much-gravel-under-fence-posts","drainage"
"73","fence gate framing calculator","fencing","Blog","gate-calculator","/tools/fencing/gate-calculator.html","/tools/fencing/gate-calculator.html | /tools/fencing/chain-link-calculator.html | /tools/fencing/fence-calculator.html | /tools/fencing/","/tools/fencing/gate-calculator.html | /tools/fencing/","Informational","Medium","Planned","19","73","fence-gate-framing-calculator","frame boards"
